"","crym","ana_mgpo_nm","ana_ccd_nm","admd_nm","admd_c","cdw","time_interval","sl_am","sl_ct"
"1","202210","부산광역시","강서구","가덕도동","2644058000","FRI","16",84000,3
"2","202210","부산광역시","강서구","가덕도동","2644058000","MON","18",84000,4
"3","202210","부산광역시","강서구","가덕도동","2644058000","SUN","19",94000,4
"4","202210","부산광역시","강서구","가락동","2644055000","MON","17",63000,3
"5","202210","부산광역시","강서구","가락동","2644055000","SAT","19",89000,4
"6","202210","부산광역시","강서구","강동동","2644053000","THU","20",83000,3
"7","202210","부산광역시","강서구","강동동","2644053000","TUE","17",105000,3
"8","202210","부산광역시","강서구","녹산동","2644056000","FRI","10",349000,14
"9","202210","부산광역시","강서구","녹산동","2644056000","FRI","11",512000,22
"10","202210","부산광역시","강서구","녹산동","2644056000","FRI","17",1579000,63
"11","202210","부산광역시","강서구","녹산동","2644056000","FRI","20",1270000,47
"12","202210","부산광역시","강서구","녹산동","2644056000","FRI","22",595000,21
"13","202210","부산광역시","강서구","녹산동","2644056000","FRI","23",184000,6
"14","202210","부산광역시","강서구","녹산동","2644056000","MON","17",3146000,114
"15","202210","부산광역시","강서구","녹산동","2644056000","MON","18",3683000,122
"16","202210","부산광역시","강서구","녹산동","2644056000","MON","22",703000,27
"17","202210","부산광역시","강서구","녹산동","2644056000","SAT","12",825000,32
"18","202210","부산광역시","강서구","녹산동","2644056000","SAT","16",718000,32
"19","202210","부산광역시","강서구","녹산동","2644056000","SAT","17",2234000,93
"20","202210","부산광역시","강서구","녹산동","2644056000","SUN","01",102000,4
"21","202210","부산광역시","강서구","녹산동","2644056000","SUN","10",698000,35
"22","202210","부산광역시","강서구","녹산동","2644056000","SUN","20",1663000,63
"23","202210","부산광역시","강서구","녹산동","2644056000","THU","00",138000,6
"24","202210","부산광역시","강서구","녹산동","2644056000","THU","09",66000,4
"25","202210","부산광역시","강서구","녹산동","2644056000","THU","17",1512000,50
"26","202210","부산광역시","강서구","녹산동","2644056000","THU","22",604000,24
"27","202210","부산광역시","강서구","녹산동","2644056000","TUE","00",89000,3
"28","202210","부산광역시","강서구","녹산동","2644056000","TUE","10",233000,16
"29","202210","부산광역시","강서구","녹산동","2644056000","TUE","13",676000,31
"30","202210","부산광역시","강서구","녹산동","2644056000","TUE","14",747000,28
"31","202210","부산광역시","강서구","녹산동","2644056000","TUE","17",2061000,72
"32","202210","부산광역시","강서구","녹산동","2644056000","TUE","23",257000,11
"33","202210","부산광역시","강서구","녹산동","2644056000","WED","02",66000,3
"34","202210","부산광역시","강서구","녹산동","2644056000","WED","17",1142000,49
"35","202210","부산광역시","강서구","녹산동","2644056000","WED","22",511000,22
"36","202210","부산광역시","강서구","대저1동","2644051000","MON","13",77000,3
"37","202210","부산광역시","강서구","대저1동","2644051000","MON","19",120000,6
"38","202210","부산광역시","강서구","대저1동","2644051000","SAT","17",110000,5
"39","202210","부산광역시","강서구","대저1동","2644051000","SAT","18",117000,3
"40","202210","부산광역시","강서구","대저1동","2644051000","SAT","19",114000,3
"41","202210","부산광역시","강서구","대저1동","2644051000","SUN","13",99000,4
"42","202210","부산광역시","강서구","대저1동","2644051000","SUN","15",106000,4
"43","202210","부산광역시","강서구","대저1동","2644051000","TUE","19",122000,3
"44","202210","부산광역시","강서구","대저1동","2644051000","WED","18",109000,3
"45","202210","부산광역시","강서구","대저2동","2644052000","FRI","18",118000,4
"46","202210","부산광역시","강서구","대저2동","2644052000","MON","12",88000,4
"47","202210","부산광역시","강서구","대저2동","2644052000","MON","14",129000,5
"48","202210","부산광역시","강서구","대저2동","2644052000","SAT","11",79000,4
"49","202210","부산광역시","강서구","대저2동","2644052000","SAT","16",84000,3
"50","202210","부산광역시","강서구","대저2동","2644052000","SAT","20",149000,5
"51","202210","부산광역시","강서구","대저2동","2644052000","SUN","11",103000,4
"52","202210","부산광역시","강서구","대저2동","2644052000","SUN","16",133000,5
"53","202210","부산광역시","강서구","대저2동","2644052000","SUN","17",85000,4
"54","202210","부산광역시","강서구","대저2동","2644052000","SUN","19",140000,6
"55","202210","부산광역시","강서구","대저2동","2644052000","TUE","11",214000,8
"56","202210","부산광역시","강서구","대저2동","2644052000","TUE","19",148000,5
"57","202210","부산광역시","강서구","대저2동","2644052000","WED","19",109000,5
"58","202210","부산광역시","강서구","명지1동","2644053500","FRI","10",576000,34
"59","202210","부산광역시","강서구","명지1동","2644053500","FRI","14",716000,31
"60","202210","부산광역시","강서구","명지1동","2644053500","FRI","18",4606000,185
"61","202210","부산광역시","강서구","명지1동","2644053500","MON","00",292000,10
"62","202210","부산광역시","강서구","명지1동","2644053500","MON","10",1161000,57
"63","202210","부산광역시","강서구","명지1동","2644053500","MON","15",1865000,74
"64","202210","부산광역시","강서구","명지1동","2644053500","MON","20",2823000,110
"65","202210","부산광역시","강서구","명지1동","2644053500","MON","22",1286000,52
"66","202210","부산광역시","강서구","명지1동","2644053500","SAT","10",612000,34
"67","202210","부산광역시","강서구","명지1동","2644053500","SAT","11",1859000,77
"68","202210","부산광역시","강서구","명지1동","2644053500","SAT","13",895000,45
"69","202210","부산광역시","강서구","명지1동","2644053500","SAT","15",752000,34
"70","202210","부산광역시","강서구","명지1동","2644053500","SAT","16",1828000,70
"71","202210","부산광역시","강서구","명지1동","2644053500","SAT","22",1986000,80
"72","202210","부산광역시","강서구","명지1동","2644053500","SUN","12",2969000,139
"73","202210","부산광역시","강서구","명지1동","2644053500","SUN","15",1296000,54
"74","202210","부산광역시","강서구","명지1동","2644053500","SUN","21",2772000,103
"75","202210","부산광역시","강서구","명지1동","2644053500","THU","00",317000,10
"76","202210","부산광역시","강서구","명지1동","2644053500","THU","15",719000,33
"77","202210","부산광역시","강서구","명지1동","2644053500","THU","22",663000,29
"78","202210","부산광역시","강서구","명지1동","2644053500","TUE","08",47000,4
"79","202210","부산광역시","강서구","명지1동","2644053500","TUE","13",1517000,68
"80","202210","부산광역시","강서구","명지1동","2644053500","TUE","15",1227000,51
"81","202210","부산광역시","강서구","명지1동","2644053500","TUE","17",3871000,154
"82","202210","부산광역시","강서구","명지1동","2644053500","TUE","19",3118000,125
"83","202210","부산광역시","강서구","명지1동","2644053500","WED","14",714000,33
"84","202210","부산광역시","강서구","명지1동","2644053500","WED","16",1180000,51
"85","202210","부산광역시","강서구","명지2동","2644054500","FRI","15",342000,19
"86","202210","부산광역시","강서구","명지2동","2644054500","FRI","18",2823000,110
"87","202210","부산광역시","강서구","명지2동","2644054500","FRI","21",390000,17
"88","202210","부산광역시","강서구","명지2동","2644054500","FRI","23",194000,7
"89","202210","부산광역시","강서구","명지2동","2644054500","MON","00",268000,10
"90","202210","부산광역시","강서구","명지2동","2644054500","MON","12",2413000,105
"91","202210","부산광역시","강서구","명지2동","2644054500","MON","13",1846000,78
"92","202210","부산광역시","강서구","명지2동","2644054500","MON","15",1409000,60
"93","202210","부산광역시","강서구","명지2동","2644054500","MON","16",2706000,100
"94","202210","부산광역시","강서구","명지2동","2644054500","MON","22",525000,24
"95","202210","부산광역시","강서구","명지2동","2644054500","SAT","10",339000,17
"96","202210","부산광역시","강서구","명지2동","2644054500","SAT","16",1270000,59
"97","202210","부산광역시","강서구","명지2동","2644054500","SAT","19",2867000,114
"98","202210","부산광역시","강서구","명지2동","2644054500","SAT","22",1169000,47
"99","202210","부산광역시","강서구","명지2동","2644054500","SUN","14",1342000,60
"100","202210","부산광역시","강서구","명지2동","2644054500","SUN","19",3071000,118
"101","202210","부산광역시","강서구","명지2동","2644054500","SUN","20",1489000,58
"102","202210","부산광역시","강서구","명지2동","2644054500","SUN","22",951000,39
"103","202210","부산광역시","강서구","명지2동","2644054500","THU","10",351000,22
"104","202210","부산광역시","강서구","명지2동","2644054500","THU","13",388000,23
"105","202210","부산광역시","강서구","명지2동","2644054500","THU","14",362000,16
"106","202210","부산광역시","강서구","명지2동","2644054500","THU","23",140000,6
"107","202210","부산광역시","강서구","명지2동","2644054500","WED","22",195000,10
"108","202210","부산광역시","금정구","구서1동","2641068000","FRI","11",527000,19
"109","202210","부산광역시","금정구","구서1동","2641068000","FRI","13",157000,10
"110","202210","부산광역시","금정구","구서1동","2641068000","FRI","15",231000,11
"111","202210","부산광역시","금정구","구서1동","2641068000","FRI","16",253000,12
"112","202210","부산광역시","금정구","구서1동","2641068000","MON","00",149000,7
"113","202210","부산광역시","금정구","구서1동","2641068000","MON","09",207000,9
"114","202210","부산광역시","금정구","구서1동","2641068000","MON","11",645000,28
"115","202210","부산광역시","금정구","구서1동","2641068000","MON","12",835000,35
"116","202210","부산광역시","금정구","구서1동","2641068000","MON","15",403000,19
"117","202210","부산광역시","금정구","구서1동","2641068000","MON","22",469000,20
"118","202210","부산광역시","금정구","구서1동","2641068000","SAT","15",99000,7
"119","202210","부산광역시","금정구","구서1동","2641068000","SAT","19",1031000,40
"120","202210","부산광역시","금정구","구서1동","2641068000","SAT","22",711000,28
"121","202210","부산광역시","금정구","구서1동","2641068000","SAT","23",252000,10
"122","202210","부산광역시","금정구","구서1동","2641068000","SUN","12",628000,28
"123","202210","부산광역시","금정구","구서1동","2641068000","THU","18",952000,39
"124","202210","부산광역시","금정구","구서1동","2641068000","THU","19",6e+05,26
"125","202210","부산광역시","금정구","구서1동","2641068000","THU","21",317000,13
"126","202210","부산광역시","금정구","구서1동","2641068000","THU","23",58000,3
"127","202210","부산광역시","금정구","구서1동","2641068000","TUE","17",884000,32
"128","202210","부산광역시","금정구","구서1동","2641068000","TUE","18",1066000,43
"129","202210","부산광역시","금정구","구서1동","2641068000","TUE","20",363000,17
"130","202210","부산광역시","금정구","구서1동","2641068000","WED","14",115000,7
"131","202210","부산광역시","금정구","구서1동","2641068000","WED","16",233000,12
"132","202210","부산광역시","금정구","구서2동","2641069000","FRI","10",320000,8
"133","202210","부산광역시","금정구","구서2동","2641069000","FRI","15",295000,13
"134","202210","부산광역시","금정구","구서2동","2641069000","FRI","19",987000,41
"135","202210","부산광역시","금정구","구서2동","2641069000","FRI","22",239000,9
"136","202210","부산광역시","금정구","구서2동","2641069000","FRI","23",114000,7
"137","202210","부산광역시","금정구","구서2동","2641069000","MON","17",2715000,104
"138","202210","부산광역시","금정구","구서2동","2641069000","MON","22",778000,25
"139","202210","부산광역시","금정구","구서2동","2641069000","SAT","11",970000,35
"140","202210","부산광역시","금정구","구서2동","2641069000","SAT","12",6e+05,27
"141","202210","부산광역시","금정구","구서2동","2641069000","SAT","13",358000,15
"142","202210","부산광역시","금정구","구서2동","2641069000","SAT","15",357000,22
"143","202210","부산광역시","금정구","구서2동","2641069000","SAT","18",2783000,105
"144","202210","부산광역시","금정구","구서2동","2641069000","SAT","22",552000,22
"145","202210","부산광역시","금정구","구서2동","2641069000","SAT","23",305000,15
"146","202210","부산광역시","금정구","구서2동","2641069000","SUN","10",804000,29
"147","202210","부산광역시","금정구","구서2동","2641069000","SUN","14",709000,33
"148","202210","부산광역시","금정구","구서2동","2641069000","SUN","16",1059000,37
"149","202210","부산광역시","금정구","구서2동","2641069000","SUN","17",2331000,74
"150","202210","부산광역시","금정구","구서2동","2641069000","SUN","18",3226000,115
"151","202210","부산광역시","금정구","구서2동","2641069000","SUN","20",1222000,43
"152","202210","부산광역시","금정구","구서2동","2641069000","SUN","21",587000,25
"153","202210","부산광역시","금정구","구서2동","2641069000","SUN","23",421000,17
"154","202210","부산광역시","금정구","구서2동","2641069000","THU","14",186000,9
"155","202210","부산광역시","금정구","구서2동","2641069000","THU","18",1379000,58
"156","202210","부산광역시","금정구","구서2동","2641069000","THU","19",849000,36
"157","202210","부산광역시","금정구","구서2동","2641069000","THU","22",457000,15
"158","202210","부산광역시","금정구","구서2동","2641069000","THU","23",84000,4
"159","202210","부산광역시","금정구","구서2동","2641069000","TUE","09",138000,6
"160","202210","부산광역시","금정구","구서2동","2641069000","TUE","11",757000,34
"161","202210","부산광역시","금정구","구서2동","2641069000","TUE","18",1665000,69
"162","202210","부산광역시","금정구","구서2동","2641069000","TUE","20",429000,18
"163","202210","부산광역시","금정구","구서2동","2641069000","TUE","23",196000,9
"164","202210","부산광역시","금정구","구서2동","2641069000","WED","11",839000,31
"165","202210","부산광역시","금정구","구서2동","2641069000","WED","15",478000,16
"166","202210","부산광역시","금정구","구서2동","2641069000","WED","18",1532000,58
"167","202210","부산광역시","금정구","구서2동","2641069000","WED","21",573000,27
"168","202210","부산광역시","금정구","구서2동","2641069000","WED","23",149000,8
"169","202210","부산광역시","금정구","금사회동동","2641055500","FRI","16",134000,5
"170","202210","부산광역시","금정구","금사회동동","2641055500","MON","17",278000,9
"171","202210","부산광역시","금정구","금사회동동","2641055500","MON","18",242000,9
"172","202210","부산광역시","금정구","금사회동동","2641055500","MON","19",115000,5
"173","202210","부산광역시","금정구","금사회동동","2641055500","SAT","15",62000,3
"174","202210","부산광역시","금정구","금사회동동","2641055500","SAT","20",40000,3
"175","202210","부산광역시","금정구","금사회동동","2641055500","SUN","16",103000,5
"176","202210","부산광역시","금정구","금사회동동","2641055500","SUN","18",360000,12
"177","202210","부산광역시","금정구","금사회동동","2641055500","SUN","20",92000,5
"178","202210","부산광역시","금정구","금사회동동","2641055500","THU","15",85000,3
"179","202210","부산광역시","금정구","금사회동동","2641055500","TUE","18",166000,7
"180","202210","부산광역시","금정구","금사회동동","2641055500","TUE","20",143000,6
"181","202210","부산광역시","금정구","금사회동동","2641055500","TUE","21",131000,5
"182","202210","부산광역시","금정구","금사회동동","2641055500","WED","12",79000,4
"183","202210","부산광역시","금정구","금사회동동","2641055500","WED","18",195000,7
"184","202210","부산광역시","금정구","금사회동동","2641055500","WED","21",82000,4
